Gender,Age,HeadCircumference,ShoulderWidth,ChestWidth,Belly,Waist,Hips,ArmLength,ShoulderToWaist,WaistToKnee,LegLength,TotalHeight,Shoulder_Hip_Ratio,Waist_Hip_Ratio,BodyType
2.0,11,22,11,14,23,12,12,18,17,12,26,49,0.9166666666666666,1.0,Triangle
2.0,13,21,12,13,24,12,11,18,16,16,27,50,1.0909090909090908,1.0909090909090908,Inverted Triangle
1.0,12,20,11,12,23,11,12,18,15,14,25,50,0.9166666666666666,0.9166666666666666,Triangle
1.0,12,19,13,12,23,12,12,18,15,16,26,51,1.0833333333333333,1.0,Inverted Triangle
1.0,12,21,14,13,22,12,12,17,16,14,27,50,1.1666666666666667,1.0,Inverted Triangle
1.0,12,19,10,14,23,12,12,18,17,13,25,51,0.8333333333333334,1.0,Triangle
1.0,11,20,11,12,23,11,11,17,15,13,29,47,1.0,1.0,Rectangle
1.0,14,20,11,13,24,10,11,18,16,12,20,49,1.0,0.9090909090909091,Rectangle
1.0,8,19,11,11,22,9,11,15,13,16,17,44,1.0,0.8181818181818182,Rectangle
1.0,5,20,10,11,22,8,8,13,18,13,19,36,1.25,1.0,Inverted Triangle
2.0,7,21,10,8,20,11,10,14,10,10,23,40,1.0,1.1,Rectangle
2.0,7,21,14,12,21,13,12,15,11,11,27,43,1.1666666666666667,1.0833333333333333,Inverted Triangle
2.0,7,21,14,12,23,13,12,17,15,14,26,48,1.1666666666666667,1.0833333333333333,Inverted Triangle
1.0,11,20,12,13,23,13,11,19,17,16,25,50,1.0909090909090908,1.1818181818181819,Inverted Triangle
1.0,7,21,11,12,23,11,12,18,14,17,21,47,0.9166666666666666,0.9166666666666666,Triangle
2.0,6,20,11,12,20,12,11,15,12,15,20,40,1.0,1.0909090909090908,Rectangle
1.0,7,19,10,13,21,12,12,16,13,14,25,38,0.8333333333333334,1.0,Triangle
1.0,8,22,10,11,20,20,12,17,14,12,21,47,0.8333333333333334,1.6666666666666667,Triangle
1.0,5,19,10,10,21,12,9,13,13,11,21,39,1.1111111111111112,1.3333333333333333,Inverted Triangle
1.0,8,20,12,11,23,13,13,17,15,13,21,41,0.9230769230769231,1.0,Triangle
2.0,6,20,13,11,21,22,24,15,14,12,24,44,0.5416666666666666,0.9166666666666666,Triangle
2.0,4,20,11,11,22,22,22,16,12,12,22,39,0.5,1.0,Triangle
1.0,12,20,13,12,23,26,27,19,16,20,25,49,0.48148148148148145,0.9629629629629629,Triangle
1.0,15,20,17,15,23,17,24,24,20,19,23,57,0.7083333333333334,0.7083333333333334,Triangle
1.0,13,20,12,15,22,24,25,17,17,20,32,50,0.48,0.96,Triangle
1.0,12,21,14,12,26,11,14,20,17,14,29,50,1.0,0.7857142857142857,Rectangle
1.0,11,20,13,11,22,12,14,18,19,13,25,49,0.9285714285714286,0.8571428571428571,Triangle
1.0,13,19,16,14,22,13,28,18,21,12,34,52,0.5714285714285714,0.4642857142857143,Triangle
2.0,7,20,12,11,23,23,23,20,17,15,24,43,0.5217391304347826,1.0,Triangle
2.0,5,20,11,10,21,21,23,19,13,13,21,39,0.4782608695652174,0.9130434782608695,Triangle
2.0,7,20,11,9,19,21,21,19,13,13,21,39,0.5238095238095238,1.0,Triangle
1.0,5,21,12,9,10,21,21,19,13,13,23,41,0.5714285714285714,1.0,Triangle
2.0,7,21,11,11,20,22,21,19,12,12,21,31,0.5238095238095238,1.0476190476190477,Triangle
2.0,6,20,11,10,21,21,20,20,15,13,22,32,0.55,1.05,Triangle
2.0,7,20,11,10,20,21,20,18,17,15,15,31,0.55,1.05,Triangle
2.0,5,21,12,12,21,21,26,21,13,20,20,40,0.46153846153846156,0.8076923076923077,Triangle
2.0,5,20,11,11,21,21,23,20,12,20,21,34,0.4782608695652174,0.9130434782608695,Triangle
2.0,6,21,13,11,20,22,24,17,12,21,22,39,0.5416666666666666,0.9166666666666666,Triangle
